YEAR, ONE AIR POLLUTANT AND CONTRIBUTOR TO AEROSOLS SULFUR DIOXIDE-SSP1-1.9, ONE AIR POLLUTANT AND CONTRIBUTOR TO AEROSOLS SULFUR DIOXIDE-SSP1-2.6, ONE AIR POLLUTANT AND CONTRIBUTOR TO AEROSOLS SULFUR DIOXIDE-SSP2-4.5, ONE AIR POLLUTANT AND CONTRIBUTOR TO AEROSOLS SULFUR DIOXIDE-SSP3-7.0, ONE AIR POLLUTANT AND CONTRIBUTOR TO AEROSOLS SULFUR DIOXIDE-SSP5-8.5
2018,94.81481481481482,94.5,102.8571428571429,96.55172413793102,98.90109890109898
2019,91.85185185185186,91.5,102.8571428571429,97.9310344827586,97.58241758241766
2020,90.37037037037038,90.0,101.5384615384616,96.55172413793102,94.94505494505503
2021,87.40740740740742,87.0,100.2197802197803,96.55172413793102,93.62637362637372
2022,81.4814814814815,81.0,97.58241758241766,96.55172413793102,90.98901098901109
2023,84.44444444444446,82.5,90.98901098901109,96.55172413793102,89.67032967032978
2024,81.4814814814815,81.0,92.3076923076924,96.55172413793102,87.03296703296715
2025,78.51851851851853,73.5,90.98901098901109,96.55172413793102,85.71428571428584
2026,72.59259259259261,75.0,88.35164835164846,96.55172413793102,83.07692307692321
2027,66.66666666666669,72.0,87.03296703296715,96.55172413793102,81.7582417582419
2028,63.70370370370372,69.0,85.71428571428584,96.55172413793102,80.43956043956058
2029,59.25925925925928,66.0,84.39560439560452,96.55172413793102,80.43956043956058
2030,57.7777777777778,63.0,84.39560439560452,96.55172413793102,79.12087912087927
2031,51.85185185185188,60.0,84.39560439560452,96.55172413793102,77.80219780219795
2032,45.92592592592595,58.5,85.71428571428584,96.55172413793102,77.80219780219795
2033,41.48148148148151,55.5,87.03296703296715,96.55172413793102,76.48351648351664
2034,37.03703703703707,52.5,87.03296703296715,96.55172413793102,75.16483516483532
2035,35.55555555555559,49.5,87.03296703296715,96.55172413793102,75.16483516483532
2036,34.0740740740741,48.0,87.03296703296715,96.55172413793102,75.16483516483532
2037,32.59259259259262,46.5,83.07692307692321,96.55172413793102,75.16483516483532
2038,32.59259259259262,43.5,83.07692307692321,96.55172413793102,75.16483516483532
2039,31.11111111111114,42.0,81.7582417582419,96.55172413793102,75.16483516483532
2040,28.14814814814818,40.5,79.12087912087927,96.55172413793102,75.16483516483532
2041,26.6666666666667,39.0,77.80219780219795,96.55172413793102,75.16483516483532
2042,26.6666666666667,37.5,77.80219780219795,96.55172413793102,75.16483516483532
2043,25.18518518518522,36.0,76.48351648351664,96.55172413793102,75.16483516483532
2044,25.18518518518522,34.5,75.16483516483532,96.55172413793102,75.16483516483532
2045,25.18518518518522,33.0,73.84615384615401,96.55172413793102,73.84615384615401
2046,23.70370370370374,33.0,71.20879120879138,96.55172413793102,73.84615384615401
2047,23.70370370370374,31.5,71.20879120879138,96.55172413793102,72.5274725274727
2048,23.70370370370374,30.0,69.89010989011007,96.55172413793102,71.20879120879138
2049,23.70370370370374,30.0,68.57142857142875,96.55172413793102,69.89010989011007
2050,23.70370370370374,28.5,67.25274725274744,96.55172413793102,68.57142857142875
2051,23.70370370370374,28.5,65.93406593406613,96.55172413793102,67.25274725274744
2052,23.70370370370374,27.0,64.61538461538481,96.55172413793102,67.25274725274744
2053,22.22222222222226,27.0,63.2967032967035,96.55172413793102,65.93406593406613
2054,22.22222222222226,25.5,61.97802197802218,96.55172413793102,64.61538461538481
2055,22.22222222222226,25.5,60.65934065934087,96.55172413793102,65.93406593406613
2056,22.22222222222226,25.5,59.34065934065956,95.17241379310343,65.93406593406613
2057,22.22222222222226,24.0,59.34065934065956,95.17241379310343,65.93406593406613
2058,22.22222222222226,24.0,58.02197802197824,95.17241379310343,67.25274725274744
2059,22.22222222222226,24.0,58.02197802197824,95.17241379310343,67.25274725274744
2060,22.22222222222226,22.5,56.70329670329693,93.79310344827584,67.25274725274744
2061,22.22222222222226,22.5,56.70329670329693,93.79310344827584,67.25274725274744
2062,22.22222222222226,22.5,56.70329670329693,93.79310344827584,67.25274725274744
2063,22.22222222222226,22.5,56.70329670329693,93.79310344827584,67.25274725274744
2064,22.22222222222226,21.0,55.38461538461561,92.41379310344826,67.25274725274744
2065,22.22222222222226,21.0,55.38461538461561,92.41379310344826,67.25274725274744
2066,22.22222222222226,21.0,55.38461538461561,92.41379310344826,67.25274725274744
2067,22.22222222222226,19.5,55.38461538461561,91.03448275862067,67.25274725274744
2068,20.74074074074078,19.5,54.0659340659343,91.03448275862067,65.93406593406613
2069,20.74074074074078,19.5,52.74725274725299,91.03448275862067,65.93406593406613
2070,20.74074074074078,19.5,52.74725274725299,89.65517241379308,65.93406593406613
2071,20.74074074074078,18.0,51.42857142857167,89.65517241379308,65.93406593406613
2072,20.74074074074078,16.5,51.42857142857167,89.65517241379308,65.93406593406613
2073,19.2592592592593,16.5,50.10989010989036,88.2758620689655,64.61538461538481
2074,19.2592592592593,16.5,50.10989010989036,88.2758620689655,64.61538461538481
2075,19.2592592592593,16.5,50.10989010989036,88.2758620689655,63.2967032967035
2076,17.77777777777781,16.5,48.79120879120904,86.89655172413791,61.97802197802218
2077,17.77777777777781,15.0,48.79120879120904,86.89655172413791,61.97802197802218
2078,17.77777777777781,15.0,48.79120879120904,86.89655172413791,60.65934065934087
2079,17.77777777777781,15.0,48.79120879120904,85.51724137931032,60.65934065934087
2080,16.29629629629633,15.0,48.79120879120904,85.51724137931032,59.34065934065956
2081,16.29629629629633,13.5,48.79120879120904,85.51724137931032,58.02197802197824
2082,16.29629629629633,13.5,48.79120879120904,84.13793103448273,56.70329670329693
2083,16.29629629629633,13.5,47.47252747252773,84.13793103448273,55.38461538461561
2084,14.81481481481485,13.5,47.47252747252773,84.13793103448273,55.38461538461561
2085,14.81481481481485,12.0,47.47252747252773,82.75862068965515,54.0659340659343
2086,14.81481481481485,12.0,47.47252747252773,82.75862068965515,52.74725274725299
2087,13.33333333333337,12.0,46.15384615384642,82.75862068965515,51.42857142857167
2088,13.33333333333337,10.5,44.8351648351651,81.37931034482756,50.10989010989036
2089,13.33333333333337,10.5,44.8351648351651,81.37931034482756,48.79120879120904
2090,11.85185185185189,10.5,43.51648351648379,81.37931034482756,47.47252747252773
2091,11.85185185185189,10.5,43.51648351648379,79.99999999999997,46.15384615384642
2092,11.85185185185189,10.5,43.51648351648379,79.99999999999997,44.8351648351651
2093,13.33333333333337,7.5,43.51648351648379,79.99999999999997,43.51648351648379
2094,13.33333333333337,9.0,,78.62068965517238,42.19780219780247
2095,11.85185185185189,9.0,,78.62068965517238,42.19780219780247
2096,11.85185185185189,9.0,,78.62068965517238,40.87912087912116
