YEAR, LOW CONFIDENCE SCENARIO, SSP1-1.9, SSP1-2.6, SSP2-4.5, SSP3-7.0, SSP5-8.5
2029,0.02298850574717104,0.1134399999999878,0.1349999999999887,0.01445086705206666,0.02303262955855723,0.08875739644971459
2030,0.03160919540234319,0.1201599999999878,0.1499999999999888,0.02312138728328028,0.02879078694819248,0.09763313609468494
2031,0.03448275862073391,0.1223999999999879,0.1649999999999889,0.02890173410408936,0.03454894433782774,0.1109467455621405
2032,0.04310344827590606,0.1268799999999879,0.1799999999999891,0.0317919075144939,0.04030710172746299,0.1153846153846256
2033,0.05172413793107822,0.1313599999999879,0.1874999999999891,0.04046242774570752,0.04318618042228062,0.1153846153846256
2034,0.05459770114946894,0.133599999999988,0.2024999999999892,0.0462427745665166,0.04894433781191587,0.124260355029596
2035,0.06321839080464109,0.138079999999988,0.2099999999999893,0.0462427745665166,0.05470249520155113,0.1331360946745663
2036,0.07183908045981324,0.138079999999988,0.2174999999999894,0.05202312138732568,0.06046065259118638,0.1375739644970515
2037,0.07758620689659468,0.142559999999988,0.2324999999999895,0.05780346820813476,0.06621880998082164,0.1464497041420219
2038,0.08620689655176683,0.144799999999988,0.2474999999999896,0.06358381502894384,0.06909788867563926,0.150887573964507
2039,0.09195402298854827,0.1492799999999881,0.2549999999999897,0.06647398843934837,0.07773512476009214,0.1597633136094774
2040,0.1005747126437204,0.1537599999999881,0.2624999999999897,0.07803468208096653,0.0834932821497274,0.1686390532544477
2041,0.1091954022988926,0.1582399999999882,0.2849999999999899,0.08381502890177561,0.08925143953936265,0.1642011834319625
2042,0.1178160919540647,0.1627199999999882,0.2999999999999901,0.09248554913298923,0.09500959692899791,0.1819526627219032
2043,0.1264367816092369,0.1671999999999882,0.3074999999999901,0.1011560693642028,0.1036468330134508,0.1908284023668736
2044,0.135057471264409,0.1694399999999883,0.3224999999999902,0.1040462427746074,0.109404990403086,0.1997041420118439
2045,0.1436781609195812,0.1716799999999883,0.3374999999999904,0.1098265895954165,0.1151631477927213,0.1952662721893588
2046,0.1522988505747533,0.1761599999999883,0.3524999999999905,0.1184971098266301,0.1238003838771742,0.2174556213017846
2047,0.1609195402299255,0.1806399999999884,0.3674999999999906,0.1213872832370346,0.1295585412668094,0.2218934911242698
2048,0.1666666666667069,0.1851199999999884,0.3824999999999907,0.1271676300578437,0.1295585412668094,0.2307692307692402
2049,0.1752873563218791,0.1873599999999884,0.3974999999999909,0.1329479768786528,0.1439539347408976,0.2396449704142105
2050,0.1839080459770512,0.1918399999999885,0.4049999999999909,0.1358381502890573,0.1497120921305328,0.2485207100591809
2051,0.1925287356322234,0.1963199999999885,0.4274999999999911,0.1416184971098664,0.1554702495201681,0.2573964497041512
2052,0.206896551724177,0.1963199999999885,0.4349999999999912,0.1473988439306755,0.1612284069098033,0.252958579881666
2053,0.2183908045977399,0.1985599999999885,0.4424999999999912,0.1560693641618891,0.1698656429942562,0.2751479289940919
2054,0.2241379310345213,0.2007999999999885,0.4574999999999914,0.1589595375722936,0.1756238003838915,0.2707100591716067
2055,0.2327586206896934,0.2052799999999886,0.4724999999999915,0.1676300578035073,0.1813819577735267,0.2884615384615474
2056,0.2413793103448656,0.2075199999999886,0.4799999999999915,0.1763005780347209,0.1900191938579796,0.2973372781065178
2057,0.2528735632184285,0.2097599999999886,0.4949999999999917,0.18208092485553,0.1957773512476149,0.2973372781065178
2058,0.2614942528736006,0.2119999999999886,0.5024999999999917,0.187861271676339,0.2015355086372501,0.3195266272189436
2059,0.2729885057471635,0.2164799999999887,0.5174999999999919,0.1936416184971481,0.210172744721703,0.328402366863914
2060,0.2844827586207264,0.2187199999999887,0.532499999999992,0.2023121387283617,0.2159309021113383,0.3372781065088843
2061,0.2959770114942892,0.2231999999999887,0.5474999999999921,0.2109826589595754,0.2245681381957911,0.3505917159763399
2062,0.3074712643678521,0.2276799999999888,0.5624999999999922,0.219653179190789,0.233205374280244,0.3594674556213102
2063,0.318965517241415,0.2299199999999888,0.5774999999999924,0.2254335260115981,0.2447216890595145,0.3683431952662806
2064,0.3275862068965871,0.2343999999999888,0.5924999999999925,0.2312138728324071,0.2533589251439674,0.3816568047337361
2065,0.33908045977015,0.2388799999999889,0.6149999999999927,0.2427745664740253,0.2619961612284203,0.3905325443787064
2066,0.3534482758621036,0.2411199999999889,0.6299999999999928,0.2456647398844298,0.2706333973128732,0.3994082840236768
2067,0.3649425287356665,0.2455999999999889,0.6449999999999929,0.2543352601156434,0.2792706333973261,0.4127218934911323
2068,0.3764367816092293,0.247839999999989,0.659999999999993,0.2601156069364525,0.2879078694817789,0.4260355029585878
2069,0.3908045977011829,0.252319999999989,0.6749999999999932,0.2658959537572616,0.2994241842610494,0.4260355029585878
2070,0.4022988505747458,0.254559999999989,0.6899999999999933,0.2774566473988798,0.3051823416506847,0.4482248520710137
2071,0.4195402298850901,0.2590399999999891,0.7049999999999934,0.2832369942196888,0.3166986564299552,0.4615384615384692
2072,0.431034482758653,0.2612799999999891,0.7124999999999935,0.2919075144509025,0.3253358925144081,0.4748520710059247
2073,0.4454022988506066,0.2657599999999891,0.7274999999999936,0.2976878612717115,0.3368522072936786,0.4837278106508951
2074,0.4568965517241694,0.2679999999999891,0.7424999999999937,0.3063583815029252,0.3454894433781315,0.4837278106508951
2075,0.4741379310345137,0.2702399999999892,0.7574999999999938,0.3121387283237342,0.3541266794625844,0.5103550295858061
2076,0.4885057471264673,0.2747199999999892,0.772499999999994,0.3179190751445433,0.3656429942418549,0.5236686390532617
2077,0.5000000000000302,0.2769599999999892,0.779999999999994,0.3265895953757569,0.3742802303263078,0.5192307692307765
2078,0.5172413793103745,0.2791999999999892,0.7949999999999942,0.3294797687861615,0.3857965451055783,0.532544378698232
2079,0.5316091954023281,0.2836799999999893,0.8099999999999943,0.3352601156069706,0.3944337811900311,0.5636094674556282
2080,0.5488505747126724,0.2859199999999893,0.8249999999999944,0.3439306358381842,0.403071017274484,0.5769230769230838
2081,0.563218390804626,0.2903999999999893,0.8324999999999945,0.3526011560693978,0.4145873320537545,0.5902366863905393
2082,0.583333333333361,0.2948799999999894,0.8474999999999946,0.3612716763006114,0.426103646833025,0.5902366863905393
2083,0.6005747126437053,0.2971199999999894,0.8624999999999947,0.3728323699422296,0.4376199616122955,0.6168639053254503
2084,0.6235632183908311,0.3015999999999894,0.8699999999999948,0.3786127167630386,0.4491362763915661,0.6301775147929058
2085,0.6350574712643939,0.3060799999999895,0.8849999999999949,0.3872832369942523,0.4606525911708366,0.6301775147929058
2086,0.6580459770115197,0.3105599999999895,0.899999999999995,0.3959537572254659,0.4721689059501071,0.6656804733727872
2087,0.6695402298850825,0.3127999999999895,0.9149999999999952,0.3988439306358704,0.4836852207293776,0.6789940828402428
2088,0.6896551724138176,0.3172799999999896,0.9224999999999952,0.407514450867084,0.4952015355086481,0.6923076923076983
2089,0.7097701149425526,0.3195199999999896,0.9374999999999953,0.4132947976878931,0.5067178502879186,0.710059171597639
2090,0.7298850574712876,0.3239999999999896,0.9524999999999955,0.4248554913295113,0.5182341650671891,0.7278106508875797
2091,0.7500000000000226,0.3262399999999896,0.9674999999999956,0.4364161849711294,0.5297504798464596,0.7411242603550352
2092,0.767241379310367,0.3307199999999897,0.9749999999999956,0.4479768786127476,0.5441458733205478,0.7411242603550352
2093,0.7902298850574927,0.3329599999999897,0.9824999999999957,0.4566473988439612,0.5585412667946359,0.7766272189349166
2094,0.807471264367837,0.3351999999999897,0.9974999999999958,0.4653179190751748,0.5700575815739064,
2095,0.8333333333333535,0.3396799999999898,1.004999999999996,0.476878612716793,0.5844529750479945,
2096,0.8505747126436978,0.3419199999999898,1.019999999999996,0.4884393063584112,0.5988483685220827,
2097,0.8591954022988699,0.3441599999999898,1.027499999999996,0.5000000000000293,0.6103646833013532,
